query,ground_truth_links,predicted_links,Recall@1,Recall@3,Recall@5
java developer in gurgaon,"['https://www.timesjobs.com/job-detail/java-full-stack-developer-associate-blackrock-gurgaon-4-to-6-yrs-jobid-3S__SLASH__fKcyckWtzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/java-full-stack-developer-associate-blackrock-gurgaon-4-to-6-yrs-jobid-3S__SLASH__fKcyckWtzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/senior-software-developer-oracle-gurgaon-5-to-8-yrs-jobid-S31IVTUNiwhzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/senior-software-developer-oracle-gurgaon-5-to-8-yrs-jobid-S31IVTUNiwhzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/software-development-engineer-iii-expedia-group-gurgaon-5-to-8-yrs-jobid-l0qNnKeMG3ZzpSvf__PLUS__uAgZw==&source=srp']","['https://www.timesjobs.com/job-detail/java-full-stack-developer-associate-blackrock-gurgaon-4-to-6-yrs-jobid-3S__SLASH__fKcyckWtzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/sr-java-developer-infinity-group-gurgaon-4-to-7-yrs-jobid-qkaBimz3LoxzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/software-developer-java-electrobrain-modern-technologies-pvt-ltd-gurgaon-hyderabad-secunderabad-mumbai-noida-greater-noida-pune-2-to-7-yrs-jobid-BjGVUGRwogJzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/senior-software-developer-oracle-gurgaon-5-to-8-yrs-jobid-S31IVTUNiwhzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/software-developer-java-mackenzie-modern-it-solutions-pvt-ltd-gurgaon-hyderabad-secunderabad-mumbai-noida-greater-noida-pune-3-to-7-yrs-jobid-Utik07pRGU9zpSvf__PLUS__uAgZw==&source=srp']",0.3333333333333333,0.3333333333333333,0.6666666666666666
Python developer with 5 years of experience,"['https://www.timesjobs.com/job-detail/senior-software-engineer-python-c-goodyear-hyderabad-secunderabad-3-to-8-yrs-jobid-12NalrW5swhzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/python-django-developer-highrise-solutions-llp-pune-3-to-7-yrs-jobid-3CvsnlT543tzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/senior-python-developer-pradeepit-bengaluru-bangalore-3-to-5-yrs-jobid-jUIyDDQue35zpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/python-developer-mackenzie-modern-it-solutions-pvt-ltd-ahmedabad-bengaluru-bangalore-chennai-delhi-delhi-ncr-3-to-7-yrs-jobid-sHq4BnIJ__PLUS__5FzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/python-developer-j48613-sampoorna-consultants-pvt-ltd-bengaluru-bangalore-3-to-5-yrs-jobid-tg1JQcduvzBzpSvf__PLUS__uAgZw==&source=srp']","['https://www.timesjobs.com/job-detail/software-developer-python-programming-job-details-zf-group-zf-india-pvt-ltd-coimbatore-5-to-8-yrs-jobid-PmB6MKApntxzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/software-developer-python-programming-job-details-zf-group-zf-india-pvt-ltd-coimbatore-5-to-8-yrs-jobid-Qr0ovB__SLASH__1d3VzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/senior-software-developer-full-stack-timesys-corporation-5-to-8-yrs-jobid-jqjvoGjJ1RRzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/senior-python-developer-2-position-ace-infoway-pvt-ltd-ahmedabad-5-to-9-yrs-jobid-AAl7gLF__SLASH__4VxzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/python-developer-highrise-solutions-llp-pune-3-to-6-yrs-jobid-AMvaikmMr01zpSvf__PLUS__uAgZw==&source=srp']",0.0,0.0,0.0
Machine Learning Engineer jobs,"['https://www.timesjobs.com/job-detail/software-developer-ai-ml-deep-learning-connecting-2-work-thiruvananthapuram-1-to-4-yrs-jobid-maVSVzrYiApzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/ai-software-developer-lear-corporation-onward-technology-pay-role-spain-3-to-5-yrs-jobid-dfZ1BvGPihZzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/application-development-engineer-ade-ml-arista-networks-ireland-bengaluru-bangalore-australia-canada-5-to-8-yrs-jobid-Jg8L5sUuB01zpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/sr-a-i-developer-highrise-solutions-llp-pune-4-to-6-yrs-jobid-hhnt4jqXTNBzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/machine-learning-engineer-ideapoke-bengaluru-bangalore-2-to-5-yrs-jobid-6VLh7iAXeF5zpSvf__PLUS__uAgZw==&source=srp']","['https://www.timesjobs.com/job-detail/software-developer-ai-ml-deep-learning-connecting-2-work-thiruvananthapuram-1-to-4-yrs-jobid-maVSVzrYiApzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/senior-machine-learning-engineer-baker-hughes-pune-5-to-8-yrs-jobid-oXg8HDSfFjVzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/sr-a-i-developer-highrise-solutions-llp-pune-4-to-6-yrs-jobid-hhnt4jqXTNBzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/ai-software-developer-lear-corporation-onward-technology-pay-role-spain-3-to-5-yrs-jobid-dfZ1BvGPihZzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/software-developer-ii-ai-integration-quality-kinaxis-chennai-6-to-9-yrs-jobid-Yrry4FNcnytzpSvf__PLUS__uAgZw==&source=srp']",0.2,0.4,0.6
DevOps Engineer jobs with 4 years of experience,"['https://www.timesjobs.com/job-detail/senior-software-engineer-x-delivery-the-boston-group-bengaluru-bangalore-4-to-6-yrs-jobid-F5jzaIF7fa1zpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/iam-devops-engineer-transtrack-gurgaon-delhi-delhi-ncr-kolkata-bengaluru-bangalore-2-to-6-yrs-jobid-em4BU__PLUS____SLASH__QJbhzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/hiring-for-qa-qc-engineers-in-abroad-axisvisa-immigration-services-private-limited-australia-canada-germany-null-3-to-8-yrs-jobid-3iW5CYdCFOZzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/software-engineer-job-in-new-zealand-world-wide-immigration-service-llp-new-zealand-3-to-8-yrs-jobid-RCHoUDgwq9ZzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/network-engineer-job-in-singapore-world-wide-immigration-service-llp-singapore-3-to-8-yrs-jobid-JX2uFoGxxFhzpSvf__PLUS__uAgZw==&source=srp']","['https://www.timesjobs.com/job-detail/devops-engineer-allianz-thiruvananthapuram-4-to-5-yrs-jobid-rk7V2Tjy1__SLASH__1zpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/d-devops-technologies-senior-software-engineer-allianz-thiruvananthapuram-4-to-5-yrs-jobid-Ow4x8D__PLUS__GimtzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/iam-devops-engineer-transtrack-gurgaon-delhi-delhi-ncr-kolkata-bengaluru-bangalore-2-to-6-yrs-jobid-em4BU__PLUS____SLASH__QJbhzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/iam-devops-engineer-transtrack-gurgaon-delhi-delhi-ncr-kolkata-bengaluru-bangalore-2-to-6-yrs-jobid-Bn8CMKvRrm9zpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/iam-devops-engineer-transtrack-gurgaon-delhi-delhi-ncr-kolkata-bengaluru-bangalore-2-to-6-yrs-jobid-oIR6Us4GaiZzpSvf__PLUS__uAgZw==&source=srp']",0.0,0.2,0.2
ReactJS Developer jobs in Pune with 5 years of experience,"['https://www.timesjobs.com/job-detail/software-developer-react-js-highrise-solutions-llp-pune-4-to-5-yrs-jobid-k1XI708DvSBzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/senior-software-developer-reactjs-net-core-highrise-solutions-llp-pune-3-to-5-yrs-jobid-caEl6EHdlt1zpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/senior-software-engineer-fullstack-reactjs-nodejs-angular-aws-highrise-solutions-llp-pune-3-to-6-yrs-jobid-1eRJ7W2P__PLUS__Z5zpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/lead-software-engineer-full-stack-highrise-solutions-llp-pune-8-to-12-yrs-jobid-F7tA7F2Dx5FzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/senior-software-developer-reactjs-net-core-highrise-solutions-llp-pune-3-to-5-yrs-jobid-caEl6EHdlt1zpSvf__PLUS__uAgZw==&source=srp']","['https://www.timesjobs.com/job-detail/java-fullstack-developer-angular-or-react-ubs-pune-5-to-8-yrs-jobid-n333hiZJ5qxzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/react-js-developer-highrise-solutions-llp-pune-4-to-7-yrs-jobid-0za67BHTFYNzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/software-developer-react-js-highrise-solutions-llp-pune-4-to-5-yrs-jobid-k1XI708DvSBzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/senior-software-engineer-fullstack-reactjs-nodejs-angular-aws-highrise-solutions-llp-pune-3-to-6-yrs-jobid-1eRJ7W2P__PLUS__Z5zpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/java-developer-harman-international-pune-4-to-7-yrs-jobid-Nx__PLUS__BtbSs__SLASH__5dzpSvf__PLUS__uAgZw==&source=srp']",0.0,0.25,0.5
sql jobs in pune with 5 year experience,"['https://www.timesjobs.com/job-detail/sql-developer-highrise-solutions-llp-pune-3-to-7-yrs-jobid-5rQQr9__PLUS__nZXhzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/pl-sql-developer-oracle-sql-tuning-software-developer-shree-adishakthi-consultancy-bengaluru-bangalore-chennai-mumbai-pune-5-to-8-yrs-jobid-h5BUZS__PLUS__oIGBzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/senior-actimize-developer-highrise-solutions-llp-pune-5-to-7-yrs-jobid-d9mFlAUvpv5zpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/datastage-developer-highrise-solutions-llp-pune-3-to-5-yrs-jobid-quFHq29kkCtzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/pl-sql-developer-oracle-sql-tuning-software-developer-shree-adishakthi-consultancy-bengaluru-bangalore-chennai-mumbai-pune-5-to-8-yrs-jobid-h5BUZS__PLUS__oIGBzpSvf__PLUS__uAgZw==&source=srp']","['https://www.timesjobs.com/job-detail/pl-sql-developer-oracle-sql-tuning-software-developer-shree-adishakthi-consultancy-bengaluru-bangalore-chennai-mumbai-pune-5-to-8-yrs-jobid-h5BUZS__PLUS__oIGBzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/software-developer-pl-sql-oracle-chennai-bengaluru-bangalore-5-to-10-yrs-jobid-CWW0aMd8BEtzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/senior-software-developer-oracle-chennai-mumbai-bengaluru-bangalore-pune-6-to-10-yrs-jobid-LJlt__PLUS__oIxuPFzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/software-developer-oracle-pune-5-to-9-yrs-jobid-07VJpLSo6p5zpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/software-developer-oracle-pune-5-to-9-yrs-jobid-YQR4PkdGi49zpSvf__PLUS__uAgZw==&source=srp']",0.25,0.25,0.25
software developer  in gurgaon,"['https://www.timesjobs.com/job-detail/cloud-native-microservices-software-developer-oracle-gurgaon-8-to-11-yrs-jobid-N__PLUS__mXlHK4DFlzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/software-development-engineer-iii-expedia-group-gurgaon-5-to-8-yrs-jobid-l0qNnKeMG3ZzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/junior-software-developer-coloredcow-gurgaon-0-to-3-yrs-jobid-PQPb__PLUS__772Q05zpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/software-developer-new-global-technologies-ahmedabad-delhi-ncr-gurgaon-kolkata-noida-greater-noida-0-to-3-yrs-jobid-nF2Poe47Qe1zpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/java-developer-finance-domain-bpsp-hr-solutions-pvt-ltd-gurgaon-0-to-3-yrs-jobid-__SLASH__veppu6kq9VzpSvf__PLUS__uAgZw==&source=srp']","['https://www.timesjobs.com/job-detail/software-development-engineer-iii-expedia-group-gurgaon-5-to-8-yrs-jobid-l0qNnKeMG3ZzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/senior-software-developer-oracle-gurgaon-5-to-8-yrs-jobid-S31IVTUNiwhzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/senior-software-developer-oracle-gurgaon-5-to-8-yrs-jobid-uqhbzectUa1zpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/software-developer-senior-software-developer-eicore-technologies-pvt-ltd-gurgaon-3-to-6-yrs-jobid-VCSVh9m7uq5zpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/software-developer-php-m-s-fast-and-furious-consulting-gurgaon-3-to-6-yrs-jobid-653CZl8NayVzpSvf__PLUS__uAgZw==&source=srp']",0.2,0.2,0.2
.net developer in hyderabad,"['https://www.timesjobs.com/job-detail/dot-net-developer-seven-consultancy-hyderabad-secunderabad-2-to-5-yrs-jobid-bKB6Eiryj__PLUS__hzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/software-developer-iii-net-developer-api-integration-solution-enterprises-pvt-ltd-ncr-corporation-india-pvt-ltd-hyderabad-secunderabad-5-to-7-yrs-jobid-Y__PLUS__5M2WVwgjBzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/dot-net-developer-seven-consultancy-hyderabad-secunderabad-2-to-5-yrs-jobid-bKB6Eiryj__PLUS__hzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/net-developer-squircle-it-consulting-services-pvt-ltd-hyderabad-secunderabad-2-to-4-yrs-jobid-XWSlm3KXQjdzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/net-developer-smartnet-it-solutions-hyderabad-secunderabad-0-to-2-yrs-jobid-fFLdNOEeQWhzpSvf__PLUS__uAgZw==&source=srp']","['https://www.timesjobs.com/job-detail/software-developer-net-united-global-soft-hyderabad-secunderabad-5-to-8-yrs-jobid-JGundm7RaBpzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/dot-net-developer-seven-consultancy-hyderabad-secunderabad-2-to-5-yrs-jobid-bKB6Eiryj__PLUS__hzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/software-developer-iii-net-developer-api-integration-solution-enterprises-pvt-ltd-ncr-corporation-india-pvt-ltd-hyderabad-secunderabad-5-to-7-yrs-jobid-Y__PLUS__5M2WVwgjBzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/principal-software-engineer-microsoft-hyderabad-secunderabad-8-to-10-yrs-jobid-ggtUAcWoSQVzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/software-engineer-senior-1-rsm-hyderabad-secunderabad-8-to-11-yrs-jobid-__SLASH__FVRhR7kb1xzpSvf__PLUS__uAgZw==&source=srp']",0.0,0.5,0.5
oracle hiring with 0 experience,"['https://www.timesjobs.com/job-detail/software-developer-1-oracle-bengaluru-bangalore-delhi-pune-hyderabad-secunderabad-0-to-2-yrs-jobid-kLR01PGQdw9zpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/software-developer-1-oracle-bengaluru-bangalore-delhi-pune-hyderabad-secunderabad-0-to-2-yrs-jobid-VUfgpV8csrdzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/oracle-dba-intersoftkk-india-pvt-ltd-bengaluru-bangalore-0-to-3-yrs-jobid-owBL__PLUS____SLASH__VFuIVzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/senior-oracle-application-software-engineer-vcarve-rcm-private-limited-0-to-3-yrs-jobid-NMNPcEifhNlzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/opm-functional-long-term-contract-with-product-firm-linktag-bengaluru-bangalore-0-to-3-yrs-jobid-E4tQbYJXnIJzpSvf__PLUS__uAgZw==&source=srp']","['https://www.timesjobs.com/job-detail/software-developer-1-oracle-bengaluru-bangalore-delhi-pune-hyderabad-secunderabad-0-to-2-yrs-jobid-kLR01PGQdw9zpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/software-developer-1-oracle-bengaluru-bangalore-delhi-pune-hyderabad-secunderabad-0-to-2-yrs-jobid-VUfgpV8csrdzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/software-developer-1-oracle-bengaluru-bangalore-1-to-4-yrs-jobid-Ov__SLASH__h3d5bJ__SLASH__tzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/software-developer-1-oracle-bengaluru-bangalore-1-to-4-yrs-jobid-efgPZ30FJJVzpSvf__PLUS__uAgZw==&source=srp', 'No valid link found']",0.2,0.4,0.4
Entry-level Software Developer positions (0-3 years experience),"['https://www.timesjobs.com/job-detail/fresher-software-developer-3ri-technologies-pvt-ltd-pune-0-to-2-yrs-jobid-RqA4AGqDG5ZzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/senior-software-developer-vcarve-rcm-private-limited-0-to-3-yrs-jobid-Dkfg9wmjBd9zpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/software-developer-frontend-engineer-coverfox-com-mumbai-bengaluru-bangalore-0-to-3-yrs-jobid-uBIzUhZqjgpzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/software-developer-invoay-software-pune-0-to-3-yrs-jobid-__SLASH____SLASH__C2IK2xhiVzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/entry-level-programmer-cumulations-technologies-pvt-ltd-bengaluru-bangalore-0-to-3-yrs-jobid-nYzoE2GZV19zpSvf__PLUS__uAgZw==&source=srp']","['https://www.timesjobs.com/job-detail/software-developer-invoay-software-pune-0-to-3-yrs-jobid-__SLASH____SLASH__C2IK2xhiVzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/software-developer-frontend-engineer-coverfox-com-mumbai-bengaluru-bangalore-0-to-3-yrs-jobid-uBIzUhZqjgpzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/senior-software-developer-vcarve-rcm-private-limited-0-to-3-yrs-jobid-Dkfg9wmjBd9zpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/fresher-software-developer-3ri-technologies-pvt-ltd-pune-0-to-2-yrs-jobid-RqA4AGqDG5ZzpSvf__PLUS__uAgZw==&source=srp', 'https://www.timesjobs.com/job-detail/software-developer-pagalguy-mumbai-0-to-3-yrs-jobid-O48dki7__SLASH__qVJzpSvf__PLUS__uAgZw==&source=srp']",0.2,0.6,0.8
